Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
nck1,196.4495724,-0.040514942,0.315983022,-0.128218731,0.897975877,0.999054741
LOC107377285,17.76714425,-0.889908699,0.732594053,-1.21473645,0.224466626,0.876421941
LOC107385954,18.45224104,-1.0093426,0.613386751,-1.645523967,0.099861804,0.743075751
LOC107374655,1.590619775,-0.692572138,1.236417413,-0.560144277,0.575381032,NA
LOC107379070,26.71966061,-1.121815704,0.54924528,-2.04246763,0.041105167,0.581705367
LOC107392531,692.8064416,1.494697,0.235544926,6.345698141,2.21E-10,7.85E-07
LOC107397012,1.186078554,0.535306638,1.232653996,0.434271612,0.664091216,NA
LOC107378170,1.410912378,0.323072173,1.135886479,0.284422941,0.77608628,NA
LOC107390787,576.7581299,0.205389212,0.290491759,0.70703972,0.479541795,0.96123409
LOC107372477,46.1132745,-0.4593004,0.534293752,-0.859640223,0.389987396,0.946380249
LOC107375188,1.309754584,-0.10591344,1.276406287,-0.082977843,0.933869158,NA
LOC107379717,1.175447255,-0.10537908,1.294375453,-0.081413071,0.935113455,NA
LOC107375045,46.82839692,0.344453342,0.667846969,0.515766871,0.606017243,0.973087028
LOC107393006,247.702542,0.132466719,0.363727717,0.364191983,0.715714653,0.981697321
LOC107386102,88.81933543,0.095973698,0.431317306,0.222512978,0.823914571,0.994192118
LOC107378862,11.57772492,0.25968786,0.797471426,0.325639078,0.744697442,0.98328949
LOC107396969,3.07238139,0.578024867,0.99733028,0.579572162,0.56220317,NA
zcchc7,190.3827188,0.139029601,0.321517458,0.432416956,0.665438397,0.981697321
LOC107384380,1.393940862,-0.483119911,1.132185099,-0.426714599,0.669587216,NA
tyms,127.3303465,-0.325695443,0.599276067,-0.543481478,0.58679834,0.970022462
egr3,6.938854235,0.330714668,0.962901623,0.343456341,0.73125518,0.982105562
LOC107393814,66.49707489,0.388214415,0.475520477,0.816398944,0.414272,0.952443862
LOC107374285,1.186078554,0.535306638,1.232653996,0.434271612,0.664091216,NA
LOC107386599,1.159936942,-0.677954505,1.230329704,-0.551034819,0.581609806,NA
ankrd40,121.6640931,-0.542783879,0.432608012,-1.254678287,0.209595571,0.867339246
LOC107388768,12.76449258,2.00131339,1.01586511,1.9700582,0.048831701,0.619704462
cxxc4,1.347941385,-0.10553408,1.28908937,-0.081867156,0.934752353,NA
msh5,26.48536189,0.552256406,0.716018626,0.771287765,0.440536383,0.957684192
LOC107377859,94.22510937,-0.669941912,0.707189065,-0.9473307,0.343470292,0.937419285
LOC107376390,6.01996231,0.521578927,0.675726014,0.771879307,0.440185914,0.957684192
LOC107382991,3.249939214,3.214208396,1.28707876,2.497289595,NA,NA
LOC107394006,23.58313661,-0.000158767,0.950087315,-0.000167108,0.999866667,0.999904366
LOC107390408,5261.324276,-0.535157833,0.236696261,-2.26094756,0.023762505,0.49821648
LOC107374368,59.42827638,0.037735009,0.409876888,0.092064251,0.926646991,0.999054741
LOC107378568,2.306528551,-0.000702407,1.029572065,-0.000682232,0.999455658,NA
med28,442.4900345,-0.436841057,0.289536985,-1.508757361,0.131360801,0.794708196
LOC107388621,226.5226877,0.57644515,0.433437613,1.329937997,0.183538701,0.84863318
gpbar1,1.270820143,-0.692949237,1.220097332,-0.567945867,0.570071726,NA
LOC107391126,2.249143866,-1.18280283,1.072741704,-1.102597974,0.270201791,NA
mgea5,713.8595321,0.053455998,0.35375567,0.151109941,0.879888991,0.99821504
tdrd9,4.202314734,0.950209695,1.111459642,0.854920556,0.39259513,0.946380249
atg10,285.943607,-0.061054557,0.311782574,-0.19582415,0.844747807,0.995674824
inf2,5.108127892,-0.738872133,0.907954289,-0.813776797,0.41577283,0.952443862
mmrn2,14.42278244,0.194051769,0.634713686,0.305731188,0.759809325,0.984567327
nt5dc2,583.0982539,-0.241267723,0.414548371,-0.582001376,0.560565754,0.967627746
LOC107380669,29.93993671,0.480184967,0.519672787,0.924014069,0.355478991,0.940136495
LOC107376999,1.849477005,0.40985889,1.165184922,0.351754372,0.72502248,NA
