Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC107384380,1.393940862,0.362035684,1.240170749,0.291924063,0.770344685,NA
tyms,127.3303465,-0.289414537,0.599719416,-0.482583236,0.629391684,0.84479855
egr3,6.938854235,-0.583901503,0.942210903,-0.619714229,0.535445946,0.791936946
LOC107393814,66.49707489,0.672493661,0.478427314,1.40563392,0.159832858,0.435983412
LOC107374285,1.186078554,0.402174647,1.232653964,0.326267273,0.744222147,NA
LOC107386599,1.159936942,-0.238148655,1.297744257,-0.183509696,0.854398111,NA
ankrd40,121.6640931,-0.595387695,0.432911689,-1.375309814,0.169035415,0.451507696
LOC107388768,12.76449258,-0.317251024,0.975023897,-0.325377691,0.744895238,0.901949281
cxxc4,1.347941385,-1.293751215,1.180197327,-1.096216018,0.272984251,NA
msh5,26.48536189,0.436613436,0.716404323,0.609451146,0.542225446,0.795690224
LOC107377859,94.22510937,0.84177573,0.712405642,1.181596103,0.237366001,0.540056549
LOC107376390,6.01996231,1.902297076,0.782403667,2.431349897,0.01504268,0.09709609
LOC107382991,3.249939214,3.076954625,1.287078781,2.390649796,NA,NA
LOC107394006,23.58313661,1.202678071,0.961423542,1.250934701,0.210958302,0.509316018
LOC107390408,5261.324276,0.46947173,0.236873078,1.981954785,0.047484301,0.21042291
LOC107374368,59.42827638,1.527321374,0.428295973,3.566041869,0.000362413,0.005975547
LOC107378568,2.306528551,0.429943583,1.070004648,0.401814687,0.687820412,NA
med28,442.4900345,0.062748299,0.290477667,0.216017636,0.828974001,0.937356365
LOC107388621,226.5226877,1.414542296,0.43583692,3.245577028,0.001172128,0.014986464
gpbar1,1.270820143,-0.768084689,1.22615971,-0.626414881,0.531042851,NA
LOC107391126,2.249143866,-0.103565563,1.158935949,-0.089362628,0.928793723,NA
mgea5,713.8595321,-0.093273618,0.353759761,-0.263663731,0.792039046,0.921963713
tdrd9,4.202314734,-1.827845998,0.973225014,-1.878132982,0.060362975,0.244166354
atg10,285.943607,0.496341335,0.313436097,1.583548738,0.113296447,0.358328363
inf2,5.108127892,-0.993870581,0.903176281,-1.100417053,0.271150452,0.578534959
mmrn2,14.42278244,1.052526317,0.662582979,1.588520004,0.112168801,0.356624168
nt5dc2,583.0982539,1.494137146,0.416379339,3.588403666,0.000332709,0.005566593
LOC107380669,29.93993671,0.334016857,0.519703213,0.642706931,0.520414283,0.783618755
LOC107376999,1.849477005,0.863181481,1.237618315,0.697453706,0.485518901,NA
